Dimensions unavailable,Dimensions unavailable,Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Dimensions unavailable,Dimensions unavailable,Dimensions unavailable,Dimensions unavailable,Dimensions unavailable,Diam. 1/2 in. (1.3 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm)
,,,,,,,,,,,,,,,,,,,
"Gift of Heinz L. Stoppelmann, 1979","Gift of Heinz L. Stoppelmann, 1980","Gift of C. Ruxton Love Jr., 1967","Gift of C. Ruxton Love Jr., 1967","Gift of C. Ruxton Love Jr., 1967","Gift of C. Ruxton Love Jr., 1967","Gift of C. Ruxton Love Jr., 1967","Gift of C. Ruxton Love Jr., 1967","Gift of C. Ruxton Love Jr., 1967","Gift of Heinz L. Stoppelmann, 1979","Gift of Heinz L. Stoppelmann, 1979","Gift of Heinz L. Stoppelmann, 1979","Gift of Heinz L. Stoppelmann, 1979","Gift of Heinz L. Stoppelmann, 1979","Gift of Mrs. Russell Sage, 1916","Gift of Mrs. Russell Sage, 1916","Gift of Mrs. Russell Sage, 1916","Gift of Mrs. Russell Sage, 1916","Gift of Mrs. Russell Sage, 1916","Gift of Mrs. Russell Sage, 1916"
,,,,,,,,,,,,,,Made in,Made in,Made in,Made in,Made in,Made in
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z,2021-04-06T04:41:04.967Z
"Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY","Metropolitan Museum of Art, New York, NY"
https://www.metmuseum.org/art/collection/search/1,https://www.metmuseum.org/art/collection/search/2,https://www.metmuseum.org/art/collection/search/3,https://www.metmuseum.org/art/collection/search/4,https://www.metmuseum.org/art/collection/search/5,https://www.metmuseum.org/art/collection/search/6,https://www.metmuseum.org/art/collection/search/7,https://www.metmuseum.org/art/collection/search/8,https://www.metmuseum.org/art/collection/search/9,https://www.metmuseum.org/art/collection/search/10,https://www.metmuseum.org/art/collection/search/11,https://www.metmuseum.org/art/collection/search/12,https://www.metmuseum.org/art/collection/search/13,https://www.metmuseum.org/art/collection/search/14,https://www.metmuseum.org/art/collection/search/15,https://www.metmuseum.org/art/collection/search/16,https://www.metmuseum.org/art/collection/search/17,https://www.metmuseum.org/art/collection/search/18,https://www.metmuseum.org/art/collection/search/19,https://www.metmuseum.org/art/collection/search/20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
,,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter,Object diameter
,,1.7463,1.7463,1.7463,1.7463,1.7463,1.7463,1.7463,1.7,1.7,1.7,1.7,1.7,1.27,2.8575,2.8575,2.8575,2.9,2.9
,,,,,,Birds,Men,,,,,,,,,,,,
,,,,,,http://vocab.getty.edu/page/aat/300266506,http://vocab.getty.edu/page/aat/300025928,,,,,,,,,,,,
,,,,,,https://www.wikidata.org/wiki/Q5113,https://www.wikidata.org/wiki/Q8441,,,,,,,,,,,,
,,,,,,Coins,Profiles,,,,,,,,,,,,
,,,,,,http://vocab.getty.edu/page/aat/300037222,http://vocab.getty.edu/page/aat/300123319,,,,,,,,,,,,
,,,,,,https://www.wikidata.org/wiki/Q41207,https://www.wikidata.org/wiki/Q4382010,,,,,,,,,,,,
,,,,,,,Eagles,,,,,,,,,,,,
,,,,,,,http://vocab.getty.edu/page/aat/300250049,,,,,,,,,,,,
,,,,,,,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,
